x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-6.4303734E-03,,,,
-6.4300982E-03,,,,
-6.4298230E-03,,,,
-6.4295477E-03,,,,
-6.4292725E-03,,,,
-6.4289973E-03,,,,
-6.4287221E-03,,,,
-6.4284469E-03,,,,
-6.4281717E-03,,,,
-6.4278965E-03,,,,
-6.4276213E-03,,,,
-6.4273461E-03,,,,
-6.4270709E-03,,,,
-6.4267957E-03,,,,
-6.4265205E-03,,,,
-6.4262453E-03,,,,
-6.4259701E-03,,,,
-6.4256949E-03,,,,
-6.4254197E-03,,,,
-6.4251445E-03,,,,
-6.4248693E-03,,,,
-6.4245941E-03,,,,
-6.4243189E-03,,,,
-6.4240437E-03,,,,
-6.4237685E-03,,,,
-6.4234933E-03,,,,
-6.4232181E-03,,,,
-6.4229428E-03,,,,
-6.4226676E-03,,,,
-6.4223924E-03,,,,
-6.4221172E-03,,,,
-6.4218420E-03,,,,
-6.4215668E-03,,,,
-6.4212916E-03,,,,
-6.4210164E-03,,,,
-6.4207412E-03,,,,
-6.4204660E-03,,,,
-6.4201908E-03,,,,
-6.4199156E-03,,,,
-6.4196404E-03,,,,
-6.4193652E-03,,,,
-6.4190900E-03,,,,
-6.4188148E-03,,,,
-6.4185396E-03,,,,
-6.4182644E-03,,,,
-6.4179892E-03,,,,
-6.4177140E-03,,,,
-6.4174388E-03,,,,
-6.4171636E-03,,,,
-6.4168884E-03,,,,
-6.4166132E-03,,,,
-6.4163380E-03,,,,
-6.4160627E-03,,,,
-6.4157875E-03,,,,
-6.4155123E-03,,,,
-6.4152371E-03,,,,
-6.4149619E-03,,,,
-6.4146867E-03,,,,
-6.4144115E-03,,,,
-6.4141363E-03,,,,
-6.4138611E-03,,,,
-6.4135859E-03,,,,
-6.4133107E-03,,,,
-6.4130355E-03,,,,
-6.4127603E-03,,,,
-6.4124851E-03,,,,
-6.4122099E-03,,,,
-6.4119347E-03,,,,
-6.4116595E-03,,,,
-6.4113843E-03,,,,
-6.4111091E-03,,,,
-6.4108339E-03,,,,
-6.4105587E-03,,,,
-6.4102835E-03,,,,
-6.4100083E-03,,,,
-6.4097331E-03,,,,
-6.4094578E-03,,,,
-6.4091826E-03,,,,
-6.4089074E-03,,,,
-6.4086322E-03,,,,
-6.4083570E-03,,,,
-6.4080818E-03,,,,
-6.4078066E-03,,,,
-6.4075314E-03,,,,
-6.4072562E-03,,,,
-6.4069810E-03,,,,
-6.4067058E-03,,,,
-6.4064306E-03,,,,
-6.4061554E-03,,,,
-6.4058802E-03,,,,
-6.4056050E-03,,,,
-6.4053298E-03,,,,
-6.4050546E-03,,,,
-6.4047794E-03,,,,
-6.4045042E-03,,,,
-6.4042290E-03,,,,
-6.4039538E-03,,,,
-6.4036786E-03,,,,
-6.4034034E-03,,,,
-6.4031282E-03,,,,
-6.4028529E-03,,,,
-6.4025777E-03,,,,
-6.4023025E-03,,,,
-6.4020273E-03,,,,
-6.4017521E-03,,,,
-6.4014769E-03,,,,
-6.4012017E-03,,,,
-6.4009265E-03,,,,
-6.4006513E-03,,,,
-6.4003761E-03,,,,
-6.4001009E-03,,,,
-6.3998257E-03,,,,
-6.3995505E-03,,,,
-6.3992753E-03,,,,
-6.3990001E-03,,,,
-6.3987249E-03,,,,
-6.3984497E-03,,,,
-6.3981745E-03,,,,
-6.3978993E-03,,,,
-6.3976241E-03,,,,
-6.3973489E-03,,,,
-6.3970737E-03,,,,
-6.3967985E-03,,,,
-6.3965233E-03,,,,
-6.3962481E-03,,,,
-6.3959728E-03,,,,
-6.3956976E-03,,,,
-6.3954224E-03,,,,
-6.3951472E-03,,,,
-6.3948720E-03,,,,
-6.3945968E-03,,,,
-6.3943216E-03,,,,
-6.3940464E-03,,,,
-6.3937712E-03,,,,
-6.3934960E-03,,,,
-6.3932208E-03,,,,
-6.3929456E-03,,,,
-6.3926704E-03,,,,
-6.3923952E-03,,,,
-6.3921200E-03,,,,
-6.3918448E-03,,,,
-6.3915696E-03,,,,
-6.3912944E-03,,,,
-6.3910192E-03,,,,
-6.3907440E-03,,,,
-6.3904688E-03,,,,
-6.3901936E-03,,,,
-6.3899184E-03,,,,
-6.3896432E-03,,,,
-6.3893679E-03,,,,
-6.3890927E-03,,,,
-6.3888175E-03,,,,
-6.3885423E-03,,,,
-6.3882671E-03,,,,
-6.3879919E-03,,,,
-6.3877167E-03,,,,
-6.3874415E-03,,,,
-6.3871663E-03,,,,
-6.3868911E-03,,,,
-6.3866159E-03,,,,
-6.3863407E-03,,,,
-6.3860655E-03,,,,
-6.3857903E-03,,,,
-6.3855151E-03,,,,
-6.3852399E-03,,,,
-6.3849647E-03,,,,
-6.3846895E-03,,,,
-6.3844143E-03,,,,
-6.3841391E-03,,,,
-6.3838639E-03,,,,
-6.3835887E-03,,,,
-6.3833135E-03,,,,
-6.3830383E-03,,,,
-6.3827630E-03,,,,
-6.3824878E-03,,,,
-6.3822126E-03,,,,
-6.3819374E-03,,,,
-6.3816622E-03,,,,
-6.3813870E-03,,,,
-6.3811118E-03,,,,
-6.3808366E-03,,,,
-6.3805614E-03,,,,
-6.3802862E-03,,,,
-6.3800110E-03,,,,
-6.3797358E-03,,,,
-6.3794606E-03,,,,
-6.3791854E-03,,,,
-6.3789102E-03,,,,
-6.3786350E-03,,,,
-6.3783598E-03,,,,
-6.3780846E-03,,,,
-6.3778094E-03,,,,
-6.3775342E-03,,,,
-6.3772590E-03,,,,
-6.3769838E-03,,,,
-6.3767086E-03,,,,
-6.3764334E-03,,,,
-6.3761582E-03,,,,
-6.3758829E-03,,,,
-6.3756077E-03,,,,
-6.3753325E-03,,,,
-6.3750573E-03,,,,
-6.3747821E-03,,,,
-6.3745069E-03,,,,
-6.3742317E-03,,,,
-6.3739565E-03,,,,
-6.3736813E-03,,,,
-6.3734061E-03,,,,
-6.3731309E-03,,,,
-6.3728557E-03,,,,
-6.3725805E-03,,,,
-6.3723053E-03,,,,
-6.3720301E-03,,,,
-6.3717549E-03,,,,
-6.3714797E-03,,,,
-6.3712045E-03,,,,
-6.3709293E-03,,,,
-6.3706541E-03,,,,
-6.3703789E-03,,,,
-6.3701037E-03,,,,
-6.3698285E-03,,,,
-6.3695533E-03,,,,
-6.3692780E-03,,,,
-6.3690028E-03,,,,
-6.3687276E-03,,,,
-6.3684524E-03,,,,
-6.3681772E-03,,,,
-6.3679020E-03,,,,
-6.3676268E-03,,,,
-6.3673516E-03,,,,
-6.3670764E-03,,,,
-6.3668012E-03,,,,
-6.3665260E-03,,,,
-6.3662508E-03,,,,
-6.3659756E-03,,,,
-6.3657004E-03,,,,
-6.3654252E-03,,,,
-6.3651500E-03,,,,
-6.3648748E-03,,,,
-6.3645996E-03,,,,
-6.3643244E-03,,,,
-6.3640492E-03,,,,
-6.3637740E-03,,,,
-6.3634988E-03,,,,
-6.3632236E-03,,,,
-6.3629484E-03,,,,
-6.3626731E-03,,,,
-6.3623979E-03,,,,
-6.3621227E-03,,,,
-6.3618475E-03,,,,
-6.3615723E-03,,,,
-6.3612971E-03,,,,
-6.3610219E-03,,,,
-6.3607467E-03,,,,
-6.3604715E-03,,,,
-6.3601963E-03,,,,
-6.3599211E-03,,,,
-6.3596459E-03,,,,
-6.3593707E-03,,,,
-6.3590955E-03,,,,
-6.3588203E-03,,,,
-6.3585451E-03,,,,
-6.3582699E-03,,,,
-6.3579947E-03,,,,
-6.3577195E-03,,,,
-6.3574443E-03,,,,
-6.3571691E-03,,,,
-6.3568939E-03,,,,
-6.3566187E-03,,,,
-6.3563435E-03,,,,
-6.3560683E-03,,,,
-6.3557930E-03,,,,
-6.3555178E-03,,,,
-6.3552426E-03,,,,
-6.3549674E-03,,,,
-6.3546922E-03,,,,
-6.3544170E-03,,,,
-6.3541418E-03,,,,
-6.3538666E-03,,,,
-6.3535914E-03,,,,
-6.3533162E-03,,,,
-6.3530410E-03,,,,
-6.3527658E-03,,,,
-6.3524906E-03,,,,
-6.3522154E-03,,,,
-6.3519402E-03,,,,
-6.3516650E-03,,,,
-6.3513898E-03,,,,
-6.3511146E-03,,,,
-6.3508394E-03,,,,
-6.3505642E-03,,,,
-6.3502890E-03,,,,
-6.3500138E-03,,,,
-6.3497386E-03,,,,
-6.3494634E-03,,,,
-6.3491881E-03,,,,
-6.3489129E-03,,,,
-6.3486377E-03,,,,
-6.3483625E-03,,,,
-6.3480873E-03,,,,
-6.3478121E-03,,,,
-6.3475369E-03,,,,
-6.3472617E-03,,,,
-6.3469865E-03,,,,
-6.3467113E-03,,,,
-6.3464361E-03,,,,
-6.3461609E-03,,,,
-6.3458857E-03,,,,
-6.3456105E-03,,,,
-6.3453353E-03,,,,
-6.3450601E-03,,,,
-6.3447849E-03,,,,
-6.3445097E-03,,,,
-6.3442345E-03,,,,
-6.3439593E-03,,,,
-6.3436841E-03,,,,
-6.3434089E-03,,,,
-6.3431337E-03,,,,
-6.3428585E-03,,,,
-6.3425832E-03,,,,
-6.3423080E-03,,,,
-6.3420328E-03,,,,
-6.3417576E-03,,,,
-6.3414824E-03,,,,
-6.3412072E-03,,,,
-6.3409320E-03,,,,
-6.3406568E-03,,,,
-6.3403816E-03,,,,
-6.3401064E-03,,,,
-6.3398312E-03,,,,
-6.3395560E-03,,,,
-6.3392808E-03,,,,
-6.3390056E-03,,,,
-6.3387304E-03,,,,
-6.3384552E-03,,,,
-6.3381800E-03,,,,
-6.3379048E-03,,,,
-6.3376296E-03,,,,
-6.3373544E-03,,,,
-6.3370792E-03,,,,
-6.3368040E-03,,,,
-6.3365288E-03,,,,
-6.3362536E-03,,,,
-6.3359784E-03,,,,
-6.3357031E-03,,,,
-6.3354279E-03,,,,
-6.3351527E-03,,,,
-6.3348775E-03,,,,
-6.3346023E-03,,,,
-6.3343271E-03,,,,
-6.3340519E-03,,,,
-6.3337767E-03,,,,
-6.3335015E-03,,,,
-6.3332263E-03,,,,
-6.3329511E-03,,,,
-6.3326759E-03,,,,
-6.3324007E-03,,,,
-6.3321255E-03,,,,
-6.3318503E-03,,,,
-6.3315751E-03,,,,
-6.3312999E-03,,,,
-6.3310247E-03,,,,
-6.3307495E-03,,,,
-6.3304743E-03,,,,
-6.3301991E-03,,,,
-6.3299239E-03,,,,
-6.3296487E-03,,,,
-6.3293735E-03,,,,
-6.3290982E-03,,,,
-6.3288230E-03,,,,
-6.3285478E-03,,,,
-6.3282726E-03,,,,
-6.3279974E-03,,,,
-6.3277222E-03,,,,
-6.3274470E-03,,,,
-6.3271718E-03,,,,
-6.3268966E-03,,,,
-6.3266214E-03,,,,
-6.3263462E-03,,,,
-6.3260710E-03,,,,
-6.3257958E-03,,,,
-6.3255206E-03,,,,
-6.3252454E-03,,,,
-6.3249702E-03,,,,
-6.3246950E-03,,,,
-6.3244198E-03,,,,
-6.3241446E-03,,,,
-6.3238694E-03,,,,
-6.3235942E-03,,,,
-6.3233190E-03,,,,
-6.3230438E-03,,,,
-6.3227686E-03,,,,
-6.3224933E-03,,,,
-6.3222181E-03,,,,
-6.3219429E-03,,,,
-6.3216677E-03,,,,
-6.3213925E-03,,,,
-6.3211173E-03,,,,
-6.3208421E-03,,,,
-6.3205669E-03,,,,
-6.3202917E-03,,,,
-6.3200165E-03,,,,
-6.3197413E-03,,,,
-6.3194661E-03,,,,
-6.3191909E-03,,,,
-6.3189157E-03,,,,
-6.3186405E-03,,,,
-6.3183653E-03,,,,
-6.3180901E-03,,,,
-6.3178149E-03,,,,
-6.3175397E-03,,,,
-6.3172645E-03,,,,
-6.3169893E-03,,,,
-6.3167141E-03,,,,
-6.3164389E-03,,,,
-6.3161637E-03,,,,
-6.3158885E-03,,,,
-6.3156132E-03,,,,
-6.3153380E-03,,,,
-6.3150628E-03,,,,
-6.3147876E-03,,,,
-6.3145124E-03,,,,
-6.3142372E-03,,,,
-6.3139620E-03,,,,
-6.3136868E-03,,,,
-6.3134116E-03,,,,
-6.3131364E-03,,,,
-6.3128612E-03,,,,
-6.3125860E-03,,,,
-6.3123108E-03,,,,
-6.3120356E-03,,,,
-6.3117604E-03,,,,
-6.3114852E-03,,,,
-6.3112100E-03,,,,
-6.3109348E-03,,,,
-6.3106596E-03,,,,
-6.3103844E-03,,,,
-6.3101092E-03,,,,
-6.3098340E-03,,,,
-6.3095588E-03,,,,
-6.3092836E-03,,,,
-6.3090083E-03,,,,
-6.3087331E-03,,,,
-6.3084579E-03,,,,
-6.3081827E-03,,,,
-6.3079075E-03,,,,
-6.3076323E-03,,,,
-6.3073571E-03,,,,
-6.3070819E-03,,,,
-6.3068067E-03,,,,
-6.3065315E-03,,,,
-6.3062563E-03,,,,
-6.3059811E-03,,,,
-6.3057059E-03,,,,
-6.3054307E-03,,,,
-6.3051555E-03,,,,
-6.3048803E-03,,,,
-6.3046051E-03,,,,
-6.3043299E-03,,,,
-6.3040547E-03,,,,
-6.3037795E-03,,,,
-6.3035043E-03,,,,
-6.3032291E-03,,,,
-6.3029539E-03,,,,
-6.3026787E-03,,,,
-6.3024034E-03,,,,
-6.3021282E-03,,,,
-6.3018530E-03,,,,
-6.3015778E-03,,,,
-6.3013026E-03,,,,
-6.3010274E-03,,,,
-6.3007522E-03,,,,
-6.3004770E-03,,,,
-6.3002018E-03,,,,
-6.2999266E-03,,,,
-6.2996514E-03,,,,
-6.2993762E-03,,,,
-6.2991010E-03,,,,
-6.2988258E-03,,,,
-6.2985506E-03,,,,
-6.2982754E-03,,,,
-6.2980002E-03,,,,
-6.2977250E-03,,,,
-6.2974498E-03,,,,
-6.2971746E-03,,,,
-6.2968994E-03,,,,
-6.2966242E-03,,,,
-6.2963490E-03,,,,
-6.2960738E-03,,,,
-6.2957986E-03,,,,
-6.2955233E-03,,,,
-6.2952481E-03,,,,
-6.2949729E-03,,,,
-6.2946977E-03,,,,
-6.2944225E-03,,,,
-6.2941473E-03,,,,
-6.2938721E-03,,,,
-6.2935969E-03,,,,
-6.2933217E-03,,,,
-6.2930465E-03,,,,
-6.2927713E-03,,,,
-6.2924961E-03,,,,
-6.2922209E-03,,,,
-6.2919457E-03,,,,
-6.2916705E-03,,,,
-6.2913953E-03,,,,
-6.2911201E-03,,,,
-6.2908449E-03,,,,
-6.2905697E-03,,,,
-6.2902945E-03,,,,
-6.2900193E-03,,,,
-6.2897441E-03,,,,
-6.2894689E-03,,,,
-6.2891937E-03,,,,
-6.2889184E-03,,,,
-6.2886432E-03,,,,
-6.2883680E-03,,,,
-6.2880928E-03,,,,
-6.2878176E-03,,,,
-6.2875424E-03,,,,
-6.2872672E-03,,,,
-6.2869920E-03,,,,
-6.2867168E-03,,,,
-6.2864416E-03,,,,
-6.2861664E-03,,,,
-6.2858912E-03,,,,
-6.2856160E-03,,,,
-6.2853408E-03,,,,
-6.2850656E-03,,,,
-6.2847904E-03,,,,
-6.2845152E-03,,,,
-6.2842400E-03,,,,
-6.2839648E-03,,,,
-6.2836896E-03,,,,
-6.2834144E-03,,,,
-6.2831392E-03,,,,
-6.2828640E-03,,,,
-6.2825888E-03,,,,
-6.2823135E-03,,,,
-6.2820383E-03,,,,
-6.2817631E-03,,,,
-6.2814879E-03,,,,
-6.2812127E-03,,,,
-6.2809375E-03,,,,
-6.2806623E-03,,,,
-6.2803871E-03,,,,
-6.2801119E-03,,,,
-6.2798367E-03,,,,
-6.2795615E-03,,,,
-6.2792863E-03,,,,
-6.2790111E-03,,,,
-6.2787359E-03,,,,
-6.2784607E-03,,,,
-6.2781855E-03,,,,
-6.2779103E-03,,,,
-6.2776351E-03,,,,
-6.2773599E-03,,,,
-6.2770847E-03,,,,
-6.2768095E-03,,,,
-6.2765343E-03,,,,
-6.2762591E-03,,,,
-6.2759839E-03,,,,
-6.2757087E-03,,,,
-6.2754334E-03,,,,
-6.2751582E-03,,,,
-6.2748830E-03,,,,
-6.2746078E-03,,,,
-6.2743326E-03,,,,
-6.2740574E-03,,,,
-6.2737822E-03,,,,
-6.2735070E-03,,,,
-6.2732318E-03,,,,
-6.2729566E-03,,,,
-6.2726814E-03,,,,
-6.2724062E-03,,,,
-6.2721310E-03,,,,
-6.2718558E-03,,,,
-6.2715806E-03,,,,
-6.2713054E-03,,,,
-6.2710302E-03,,,,
-6.2707550E-03,,,,
-6.2704798E-03,,,,
-6.2702046E-03,,,,
